taxon_id,radius,date,count
63567,20,2022-08-31,54
51741,200,2022-08-31,4244
127345,200,2022-08-31,2029
132600,200,2022-08-31,1582
55757,200,2022-08-31,3650
79125,200,2022-08-31,647
204168,200,2022-08-31,237
52436,200,2022-08-31,87
159764,200,2022-08-31,848
56063,200,2022-08-31,2711
63567,200,2022-08-31,3277
50814,2000,2022-08-31,382226
83797,2000,2022-08-31,1258
47416,2000,2022-08-31,19261
7823,2000,2022-08-31,87637
373470,2000,2022-08-31,3561
1062676,2000,2022-08-31,623
53490,2000,2022-08-31,5516
83951,2000,2022-08-31,1949
52855,2000,2022-08-31,41595
52693,2000,2022-08-31,4020
50829,2000,2022-08-31,50788
50814,0,2022-08-31,4472685
83797,0,2022-08-31,9329
47416,0,2022-08-31,207354
7823,0,2022-08-31,548251
373470,0,2022-08-31,19720
1062676,0,2022-08-31,5822
53490,0,2022-08-31,50327
83951,0,2022-08-31,17850
52855,0,2022-08-31,195660
52693,0,2022-08-31,13084
50829,0,2022-08-31,334813
49230,2000,2022-08-31,4677
541758,2000,2022-08-31,13235
62187,2000,2022-08-31,10868
52713,2000,2022-08-31,12527
53300,2000,2022-08-31,6718
51886,2000,2022-08-31,32872
55930,2000,2022-08-31,4662
327977,2000,2022-08-31,220
54582,2000,2022-08-31,14325
59571,2000,2022-08-31,20475
47544,2000,2022-08-31,39282
47415,2000,2022-08-31,7850
48339,2000,2022-08-31,14905
1070919,2000,2022-08-31,67
966205,2000,2022-08-31,8881
51610,2000,2022-08-31,20254
48206,2000,2022-08-31,13942
56133,2000,2022-08-31,18390
52856,2000,2022-08-31,18474
55643,2000,2022-08-31,7370
741459,2000,2022-08-31,5264
25591,2000,2022-08-31,10508
560192,2000,2022-08-31,176
56064,2000,2022-08-31,8309
69624,2000,2022-08-31,12629
321535,2000,2022-08-31,1549
740984,2000,2022-08-31,7253
52821,2000,2022-08-31,25355
159763,2000,2022-08-31,9087
52720,2000,2022-08-31,12424
130039,2000,2022-08-31,2410
119946,2000,2022-08-31,920
909393,2000,2022-08-31,1141
324093,2000,2022-08-31,2014
50790,2000,2022-08-31,14795
55821,2000,2022-08-31,4361
159973,2000,2022-08-31,2621
77120,2000,2022-08-31,6535
60284,2000,2022-08-31,3877
129115,2000,2022-08-31,12402
57190,2000,2022-08-31,6089
123628,2000,2022-08-31,10103
75762,2000,2022-08-31,10914
198886,2000,2022-08-31,2532
62207,2000,2022-08-31,3002
125012,2000,2022-08-31,3972
56164,2000,2022-08-31,4420
79514,2000,2022-08-31,1346
124138,2000,2022-08-31,3208
132481,2000,2022-08-31,2492
161763,2000,2022-08-31,1574
47602,2000,2022-08-31,23331
56126,2000,2022-08-31,8248
56222,2000,2022-08-31,19618
35453,2000,2022-08-31,6737
855316,2000,2022-08-31,683
61454,2000,2022-08-31,4498
50247,2000,2022-08-31,8258
55760,2000,2022-08-31,7761
77266,2000,2022-08-31,784
124359,2000,2022-08-31,2591
79460,2000,2022-08-31,1886
43048,2000,2022-08-31,2968
556645,2000,2022-08-31,654
1092837,2000,2022-08-31,1083
204167,2000,2022-08-31,5880
351629,2000,2022-08-31,464
78712,2000,2022-08-31,1469
60997,2000,2022-08-31,1630
283890,2000,2022-08-31,625
76907,2000,2022-08-31,9799
79409,2000,2022-08-31,1421
57500,2000,2022-08-31,7202
131203,2000,2022-08-31,2965
61948,2000,2022-08-31,6938
62338,2000,2022-08-31,10262
61321,2000,2022-08-31,11497
64162,2000,2022-08-31,2064
58722,2000,2022-08-31,21080
79408,2000,2022-08-31,6030
841645,2000,2022-08-31,4114
47435,2000,2022-08-31,12583
69814,2000,2022-08-31,2575
